School name,2023 Enrolment Pressure (EPI),School Type,Suburb,LGA,Education Sector,Estimated no. Enrolments,Full Capacity (100% EPI),Spare Capacity,Note
Rangeview Primary School,98%,Primary,Mitcham,Whitehorse (C),Government,689,703,14,
Suzanne Cory High School,98%,Secondary,Werribee,Wyndham (C),Government,910,929,19,
Yarrawonga College P-12,98%,Pri/Sec,Yarrawonga,Moira (S),Government,992,1012,20,
Dohertys Creek P-9 College,98%,Pri/Sec,Truganina,Wyndham (C),Government,1444,1473,29,
Dromana Secondary College,98%,Secondary,Dromana,Mornington Peninsula (S),Government,1858,1896,38,
Manor Lakes P-12 College,98%,Pri/Sec,Wyndham Vale,Wyndham (C),Government,3024,3085,62,
Herne Hill Primary School,97%,Primary,Hamlyn Heights,Greater Geelong (C),Government,266,274,8,
Wandin North Primary School,97%,Primary,Wandin North,Yarra Ranges (S),Government,316,326,10,
Essendon Primary School,97%,Primary,Essendon,Moonee Valley (C),Government,463,477,14,
Knox Gardens Primary School,97%,Primary,Wantirna South,Knox (C),Government,485,500,15,
Frankston Heights Primary School,97%,Primary,Frankston,Frankston (C),Government,512,528,16,
Blackburn Lake Primary School,97%,Primary,Blackburn,Whitehorse (C),Government,555,572,17,
Caulfield Junior College,97%,Primary,Caulfield North,Glen Eira (C),Government,557,574,17,
Docklands Primary School,97%,Primary,Docklands,Melbourne (C),Government,528,544,16,
Eltham East Primary School,97%,Primary,Eltham,Nillumbik (S),Government,652,672,20,
Bentleigh West Primary School,97%,Primary,Bentleigh,Glen Eira (C),Government,680,701,21,
Princes Hill Secondary College,97%,Secondary,Princes Hill,Yarra (C),Government,849,875,26,
Aintree Primary School,97%,Primary,Aintree,Melton (C),Government,990,1021,31,
Tulliallan Primary School,97%,Primary,Cranbourne North,Casey (C),Government,1479,1525,46,
Hoppers Crossing Secondary College,97%,Secondary,Hoppers Crossing,Wyndham (C),Government,1538,1586,48,
University High School,97%,Secondary,Parkville,Melbourne (C),Government,1825,1881,56,
Kambrya College,97%,Secondary,Berwick,Casey (C),Government,1915,1975,59,
Highton Primary School,96%,Primary,Highton,Greater Geelong (C),Government,338,352,14,
Altona Green Primary School,96%,Primary,Altona Meadows,Hobsons Bay (C),Government,411,428,17,
Lara Primary School,96%,Primary,Lara,Greater Geelong (C),Government,457,476,19,
Watsonia Heights Primary School,96%,Primary,Greensborough,Banyule (C),Government,506,527,21,
Berwick Lodge Primary School,96%,Primary,Berwick,Casey (C),Government,604,630,25,
Montpellier Primary School,96%,Primary,Highton,Greater Geelong (C),Government,624,650,26,
Irymple Secondary College,96%,Secondary,Irymple,Mildura (RC),Government,622,648,26,
Footscray West Primary School,96%,Primary,West Footscray,Maribyrnong (C),Government,674,702,28,
Mount Alexander 7-12 College,96%,Secondary,Flemington,Moonee Valley (C),Government,680,708,28,
Vermont Primary School,96%,Primary,Vermont,Whitehorse (C),Government,768,800,32,
Milgate Primary School,96%,Primary,Doncaster East,Manningham (C),Government,804,838,34,
Davis Creek Primary School,96%,Primary,Tarneit,Wyndham (C),Government,871,908,36,
Geelong High School,96%,Secondary,East Geelong,Greater Geelong (C),Government,936,975,39,
Coburg High School,96%,Secondary,Coburg,Moreland (C),Government,1255,1307,52,
Taradale Primary School,95%,Primary,Taradale,Mount Alexander (S),Government,71,75,4,
Hazelwood North Primary School,95%,Primary,Hazelwood North,Latrobe (C),Government,166,175,9,
Marong Primary School,95%,Primary,Marong,Greater Bendigo (C),Government,213,224,11,
Castlemaine North Primary School,95%,Primary,Castlemaine,Mount Alexander (S),Government,284,299,15,
Narre Warren North Primary School,95%,Primary,Narre Warren North,Casey (C),Government,379,399,20,
Chelsea Primary School,95%,Primary,Chelsea,Kingston (C),Government,334,352,18,
Bonbeach Primary School,95%,Primary,Bonbeach,Kingston (C),Government,379,399,20,
Chilwell Primary School,95%,Primary,Newtown,Greater Geelong (C),Government,403,424,21,
Newlands Primary School,95%,Primary,Preston,Darebin (C),Government,355,374,19,
Billanook Primary School,95%,Primary,Montrose,Yarra Ranges (S),Government,473,498,25,
Seaford North Primary School,95%,Primary,Seaford,Frankston (C),Government,477,502,25,
Drouin Primary School,95%,Primary,Drouin,Baw Baw (S),Government,641,675,34,
Woodmans Hill Secondary College,95%,Secondary,Ballarat East,Ballarat (C),Government,548,577,29,
Bellbridge Primary School,95%,Primary,Hoppers Crossing,Wyndham (C),Government,667,702,35,
Wembley Primary School,95%,Primary,Yarraville,Maribyrnong (C),Government,666,701,35,
Chaffey Secondary College,95%,Secondary,Mildura,Mildura (RC),Government,709,746,37,
Taylors Lakes Primary School,95%,Primary,Taylors Lakes,Brimbank (C),Government,721,759,38,
Lara Lake Primary School,95%,Primary,Lara Lake,Greater Geelong (C),Government,765,805,40,
Wedge Park Primary School,95%,Primary,Melton West,Melton (C),Government,982,1033,52,
Newbury Primary School,95%,Primary,Craigieburn,Hume (C),Government,1246,1311,66,
Featherbrook P-9 College,95%,Pri/Sec,Point Cook,Wyndham (C),Government,1147,1207,60,
Maribyrnong Secondary College,95%,Secondary,Maribyrnong,Maribyrnong (C),Government,1311,1380,69,
Melbourne High School,95%,Secondary,South Yarra,Stonnington (C),Government,1371,1443,72,
Bass Coast College,95%,Special,Belmont,Greater Geelong (C),Government,1603,1687,84,
Albert Park College,95%,Secondary,Albert Park,Port Phillip (C),Government,1599,1683,84,
Mernda Central P-12 College,95%,Pri/Sec,Mernda,Whittlesea (C),Government,1620,1705,85,
Halls Gap Primary School,94%,Primary,Halls Gap,Northern Grampians (S),Government,47,50,3,
Eagle Point Primary School,94%,Primary,Eagle Point,East Gippsland (S),Government,164,175,10,
Teesdale Primary School,94%,Primary,Teesdale,Golden Plains (S),Government,234,249,15,
Carlton North Primary School,94%,Primary,Carlton North,Yarra (C),Government,281,299,18,
Wonthaggi Primary School,94%,Primary,Wonthaggi,Bass Coast (S),Government,400,426,26,
Hampton Park Primary School,94%,Primary,Hampton Park,Casey (C),Government,426,453,27,
Mansfield Secondary College,94%,Secondary,Mansfield,Mansfield (S),Government,470,499,30,
Newport Gardens Primary School,94%,Primary,Newport,Hobsons Bay (C),Government,563,598,36,
Watsonia North Primary School,94%,Primary,Watsonia North,Banyule (C),Government,568,604,36,
Kerrimuir Primary School,94%,Primary,Box Hill North,Whitehorse (C),Government,545,580,35,
Balwyn North Primary School,94%,Primary,Balwyn North,Boroondara (C),Government,591,629,38,
Birralee Primary School,94%,Primary,Doncaster,Manningham (C),Government,588,626,38,
Ocean Grove Primary School,94%,Primary,Ocean Grove,Greater Geelong (C),Government,587,625,37,
Montmorency South Primary School,94%,Primary,Montmorency,Banyule (C),Government,681,724,43,
Riverbend Primary School,94%,Primary,Wyndham Vale,Wyndham (C),Government,498,530,32,
Templestowe College,94%,Secondary,Templestowe Lower,Manningham (C),Government,1226,1304,78,
Patterson River Secondary College,94%,Secondary,Seaford,Frankston (C),Government,1246,1326,80,
Viewbank College,94%,Secondary,Viewbank,Banyule (C),Government,1460,1553,93,
Box Hill High School,94%,Secondary,Box Hill,Whitehorse (C),Government,1441,1533,92,
Rowville Secondary College,94%,Secondary,Rowville,Knox (C),Government,1841,1959,118,
Truganina P-9 College,94%,Pri/Sec,Truganina,Wyndham (C),Government,2381,2533,152,
Balwyn High School,94%,Secondary,Balwyn North,Boroondara (C),Government,2168,2307,138,
Koroit And District Primary School,93%,Primary,Koroit,Moyne (S),Government,185,199,14,
Lancefield Primary School,93%,Primary,Lancefield,Macedon Ranges (S),Government,185,199,14,
Yuille Park P-8 Community College,93%,Pri/Sec,Wendouree,Ballarat (C),Government,204,219,15,
Kangaroo Ground Primary School,93%,Primary,Kangaroo Ground,Nillumbik (S),Government,256,275,19,
Carrum Primary School,93%,Primary,Carrum,Kingston (C),Government,370,398,28,
Somerville Primary School,93%,Primary,Somerville,Mornington Peninsula (S),Government,370,398,28,
Middle Park Primary School,93%,Primary,Middle Park,Port Phillip (C),Government,464,499,35,
Pentland Primary School,93%,Primary,Bacchus Marsh,Moorabool (S),Government,447,481,34,
Mill Park Primary School,93%,Primary,Mill Park,Whittlesea (C),Government,511,549,38,
Banyule Primary School,93%,Primary,Rosanna,Banyule (C),Government,671,722,51,
Reservoir High School,93%,Secondary,Reservoir,Darebin (C),Government,670,720,50,
Trafalgar High School,93%,Secondary,Trafalgar,Baw Baw (S),Government,723,777,54,
Arnolds Creek Primary School,93%,Primary,Harkness,Melton (C),Government,749,805,56,
Broadford Secondary College,93%,Secondary,Broadford,Mitchell (S),Government,789,848,59,
Kororoit Creek Primary School,93%,Primary,Burnside Heights,Melton (C),Government,1280,1376,96,
St Helena Secondary College,93%,Secondary,Eltham North,Banyule (C),Government,1532,1648,115,
Parkdale Secondary College,93%,Secondary,Mordialloc,Kingston (C),Government,1669,1794,126,
Cranbourne East Secondary College,93%,Secondary,Cranbourne East,Casey (C),Government,1965,2113,148,
Narre Warren South P-12 College,93%,Pri/Sec,Narre Warren South,Casey (C),Government,2610,2806,196,
Toora Primary School,92%,Primary,Toora,South Gippsland (S),Government,69,75,6,
Mount Macedon Primary School,92%,Primary,Mount Macedon,Macedon Ranges (S),Government,115,125,10,
Bendigo Primary School,92%,Primary,Bendigo,Greater Bendigo (C),Government,206,224,18,
Yinnar Primary School,92%,Primary,Yinnar,Latrobe (C),Government,229,249,20,
Macedon Primary School,92%,Primary,Macedon,Macedon Ranges (S),Government,253,275,22,
Dandenong West Primary School,92%,Primary,Dandenong,Greater Dandenong (C),Government,301,327,26,
Seaholme Primary School,92%,Primary,Seaholme,Hobsons Bay (C),Government,322,350,28,
Koo Wee Rup Primary School,92%,Primary,Koo Wee Rup,Cardinia (S),Government,345,375,30,
Boneo Primary School,92%,Primary,Boneo,Mornington Peninsula (S),Government,369,401,32,
Woodend Primary School,92%,Primary,Woodend,Macedon Ranges (S),Government,416,452,36,
Eynesbury Primary School,92%,Primary,Eynesbury,Melton (C),Government,367,399,32,
Diamond Creek East Primary School,92%,Primary,Diamond Creek,Nillumbik (S),Government,461,501,40,
Mansfield Primary School,92%,Primary,Mansfield,Mansfield (S),Government,507,551,44,
Diggers Rest Primary School,92%,Primary,Diggers Rest,Melton (C),Government,463,503,40,
Regency Park Primary School,92%,Primary,Wantirna,Knox (C),Government,550,598,48,
Montrose Primary School,92%,Primary,Montrose,Yarra Ranges (S),Government,574,624,50,
Mooroolbark East Primary School,92%,Primary,Mooroolbark,Yarra Ranges (S),Government,602,654,52,
Essex Heights Primary School,92%,Primary,Mount Waverley,Monash (C),Government,599,651,52,
Canterbury Primary School,92%,Primary,Canterbury,Boroondara (C),Government,624,678,54,
Preston West Primary School,92%,Primary,Preston,Darebin (C),Government,673,732,59,
Buckley Park College,92%,Secondary,Essendon,Moonee Valley (C),Government,896,974,78,
Traralgon College,92%,Secondary,Traralgon,Latrobe (C),Government,1026,1115,89,
Lyndhurst Primary School,92%,Primary,Lyndhurst,Casey (C),Government,927,1008,81,
Casey Fields Primary School,92%,Primary,Cranbourne East,Casey (C),Government,817,888,71,
Aitken Creek Primary School,92%,Primary,Craigieburn,Hume (C),Government,1100,1195,96,
Tarneit Senior College,92%,Secondary,Tarneit,Wyndham (C),Government,1130,1228,98,
Brookside P-9 College,92%,Pri/Sec,Caroline Springs,Melton (C),Government,1176,1279,102,
Ramlegh Park Primary School,92%,Primary,Clyde North,Casey (C),Government,1066,1159,93,
Taylors Lakes Secondary College,92%,Secondary,Taylors Lakes,Brimbank (C),Government,1360,1478,118,
Staughton College,92%,Secondary,Melton South,Melton (C),Government,1447,1573,126,
Brentwood Secondary College,92%,Secondary,Glen Waverley,Monash (C),Government,1615,1755,140,
St Albans Secondary College,92%,Secondary,St Albans,Brimbank (C),Government,1624,1765,141,
Mount Waverley Secondary College,92%,Secondary,Mount Waverley,Monash (C),Government,1857,2018,161,
Alkira Secondary College,92%,Secondary,Cranbourne North,Casey (C),Catholic,1876,2039,163,
Mount Ridley P-12 College,92%,Pri/Sec,Craigieburn,Hume (C),Government,2775,3016,241,
Seaford Park Primary School,91%,Primary,Seaford,Frankston (C),Government,181,199,18,
Caledonian Primary School,91%,Primary,Brown Hill,Ballarat (C),Government,227,250,22,
Richmond Primary School,91%,Primary,Richmond,Yarra (C),Government,363,399,36,
Westbreen Primary School,91%,Primary,Pascoe Vale,Moreland (C),Government,387,425,38,
Korumburra Secondary College,91%,Secondary,Korumburra,South Gippsland (S),Government,409,449,40,
Sunbury Heights Primary School,91%,Primary,Sunbury,Hume (C),Government,457,502,45,
Ruskin Park Primary School,91%,Primary,Croydon,Maroondah (C),Government,456,501,45,
Jells Park Primary School,91%,Primary,Wheelers Hill,Monash (C),Government,544,598,54,
Heidelberg Primary School,91%,Primary,Heidelberg,Banyule (C),Government,569,625,56,
Warragul North Primary School,91%,Primary,Warragul,Baw Baw (S),Government,641,704,63,
Reservoir West Primary School,91%,Primary,Reservoir,Darebin (C),Government,592,651,59,
Horsham West and Haven Primary School,91%,Primary,Horsham,Horsham (RC),Government,646,710,64,
Pakenham Consolidated School,91%,Primary,Pakenham,Cardinia (S),Government,596,655,59,
Langwarrin Primary School,91%,Primary,Langwarrin,Frankston (C),Government,662,727,65,
Mount Rowan Secondary College,91%,Secondary,Wendouree,Ballarat (C),Government,662,728,66,
Riverwalk Primary School,91%,Primary,Werribee,Wyndham (C),Government,642,706,64,
Lyndale Secondary College,91%,Secondary,Dandenong North,Greater Dandenong (C),Government,845,928,84,
Glen Eira College,91%,Secondary,Caulfield East,Glen Eira (C),Government,879,966,87,
Kurunjang Secondary College,91%,Secondary,Melton,Melton (C),Government,915,1005,90,
Rosehill Secondary College,91%,Secondary,Niddrie,Moonee Valley (C),Government,1130,1242,112,
Lalor Secondary College,91%,Secondary,Lalor,Whittlesea (C),Government,1145,1258,113,
Fountain Gate Secondary College,91%,Secondary,Narre Warren,Casey (C),Government,1375,1511,136,
Footscray High School,91%,Secondary,Footscray,Maribyrnong (C),Government,1435,1577,142,
Williamstown High School,91%,Secondary,Williamstown,Hobsons Bay (C),Government,1493,1641,148,
Phoenix P-12 Community College,91%,Pri/Sec,Sebastopol,Ballarat (C),Government,1612,1771,159,
Northcote High School,91%,Secondary,Northcote,Darebin (C),Government,1763,1937,174,
Mount Waverley Secondary College,91%,Secondary,Mount Waverley,Monash (C),Government,1857,2041,184,
Saltwater P-9 College,91%,Pri/Sec,Point Cook,Wyndham (C),Government,1765,1940,175,
Garfield Primary School,90%,Primary,Garfield,Cardinia (S),Government,158,176,18,
Churchill Primary School,90%,Primary,Churchill,Latrobe (C),Government,180,200,20,
Elliminyt Primary School,90%,Primary,Elliminyt,Colac-Otway (S),Government,226,251,25,
Ascot Vale West Primary School,90%,Primary,Ascot Vale,Moonee Valley (C),Government,294,327,33,
Traralgon (Kosciuszko Street) Primary School,90%,Primary,Traralgon,Latrobe (C),Government,291,324,32,
Grahamvale Primary School,90%,Primary,Grahamvale,Greater Shepparton (C),Government,383,426,43,
Irymple South Primary School,90%,Primary,Irymple,Mildura (RC),Government,383,426,43,
Athol Road Primary School,90%,Primary,Springvale South,Greater Dandenong (C),Government,406,451,45,
Echuca Primary School,90%,Primary,Echuca,Campaspe (S),Government,515,572,57,
Grey Street Primary School (Traralgon),90%,Primary,Traralgon,Latrobe (C),Government,519,577,58,
Kingswood Primary School,90%,Primary,Dingley Village,Kingston (C),Government,586,652,65,
Torquay Coast Primary School,90%,Primary,Torquay,Surf Coast (S),Government,586,651,65,
Wheelers Hill Secondary College,90%,Secondary,Wheelers Hill,Monash (C),Government,709,788,79,
Gilgai Plains Primary School,90%,Special,KEW,Boroondara (C),Independent,685,761,76,
Diamond Valley College,90%,Secondary,Diamond Creek,Nillumbik (S),Government,836,929,93,
Leopold Primary School,90%,Primary,Leopold,Greater Geelong (C),Government,857,952,95,
Norwood Secondary College,90%,Secondary,Ringwood,Maroondah (C),Government,1081,1201,120,
Vermont Secondary College,90%,Secondary,Vermont,Whitehorse (C),Government,1581,1757,176,
The Grange P-12 College,90%,Pri/Sec,Hoppers Crossing,Wyndham (C),Government,1932,2147,215,
Tarneit P-9 College,90%,Pri/Sec,Tarneit,Wyndham (C),Government,2309,2565,257,
Beaufort Primary School,89%,Primary,Beaufort,Pyrenees (S),Government,156,175,19,
Allansford and District Primary School,89%,Primary,Allansford,Warrnambool (C),Independent,179,201,22,
Le Page Primary School,89%,Primary,Cheltenham,Kingston (C),Government,200,225,25,
Huntly Primary School,89%,Primary,Huntly,Greater Bendigo (C),Government,290,326,36,
Rolling Hills Primary School,89%,Primary,Mooroolbark,Yarra Ranges (S),Government,377,423,47,
Silverton Primary School,89%,Primary,Noble Park North,Greater Dandenong (C),Government,445,500,55,
Inverloch Primary School,89%,Primary,Inverloch,Bass Coast (S),Government,443,498,55,
Lysterfield Primary School,89%,Primary,Lysterfield,Knox (C),Government,533,599,66,
Eltham North Primary School,89%,Primary,Eltham North,Nillumbik (S),Government,536,602,66,
Melton West Primary School,89%,Primary,Melton West,Melton (C),Government,533,599,66,
Cranbourne Carlisle Primary School,89%,Primary,Cranbourne,Casey (C),Government,538,604,66,
Buninyong Primary School,89%,Primary,Buninyong,Ballarat (C),Government,635,713,78,
Wales Street Primary School,89%,Primary,Thornbury,Darebin (C),Government,580,652,72,
Preston Primary School,89%,Primary,Preston,Darebin (C),Government,668,751,83,
Coatesville Primary School,89%,Primary,Bentleigh East,Glen Eira (C),Government,786,883,97,
Doncaster Gardens Primary School,89%,Primary,Doncaster East,Manningham (C),Government,773,868,95,
Wallan Secondary College,89%,Secondary,Wallan,Mitchell (S),Government,760,854,94,
Berwick Fields Primary School,89%,Primary,Berwick,Casey (C),Government,931,1046,115,
Beaumaris Secondary College,89%,Secondary,Beaumaris,Bayside (C),Government,980,1101,121,
Craigieburn Secondary College,89%,Secondary,Craigieburn,Hume (C),Government,1072,1204,132,
Keilor Downs Secondary College,89%,Secondary,Keilor Downs,Brimbank (C),Government,1252,1407,155,
Williamstown High School,89%,Secondary,Williamstown,Hobsons Bay (C),Government,1493,1678,185,
Springside West Secondary College,89%,Secondary,Fraser Rise,Melton (C),Government,1451,1630,179,
Werribee Secondary College,89%,Secondary,Werribee,Wyndham (C),Government,1583,1779,196,
Inverleigh Primary School,88%,Primary,Inverleigh,Golden Plains (S),Government,176,200,24,
Yarragon Primary School,88%,Primary,Yarragon,Baw Baw (S),Government,221,251,30,
Moorooduc Primary School,88%,Primary,Moorooduc,Mornington Peninsula (S),Government,265,301,36,
Irymple Primary School,88%,Primary,Irymple,Mildura (RC),Government,331,376,45,
Morwell Park Primary School,88%,Primary,Morwell,Latrobe (C),Government,352,400,48,
Tecoma Primary School,88%,Primary,Tecoma,Yarra Ranges (S),Government,419,476,57,
Morwell Central Primary School,88%,Primary,Morwell,Latrobe (C),Government,398,452,54,
St Albans Meadows Primary School,88%,Primary,St Albans,Brimbank (C),Government,441,501,60,
Brunswick South West Primary School,88%,Primary,Brunswick West,Moreland (C),Government,445,506,61,
Westmeadows Primary School,88%,Primary,Westmeadows,Hume (C),Government,487,553,66,
Sale Primary School,88%,Primary,Sale,Wellington (S),Government,486,552,66,
Kilmore Primary School,88%,Primary,Kilmore,Mitchell (S),Government,507,576,69,
Dorset Primary School,88%,Primary,Croydon,Maroondah (C),Government,506,575,69,
Strathfieldsaye Primary School,88%,Primary,Strathfieldsaye,Greater Bendigo (C),Government,553,628,75,
Great Ryrie Primary School,88%,Primary,Heathmont,Maroondah (C),Government,551,626,75,
Somerville Secondary College,88%,Secondary,Somerville,Mornington Peninsula (S),Government,483,548,66,
Kennington Primary School,88%,Primary,Kennington,Greater Bendigo (C),Government,639,726,87,
Overport Primary School,88%,Primary,Frankston,Frankston (C),Government,703,799,96,
Strathaird Primary School,88%,Primary,Narre Warren South,Casey (C),Government,755,858,103,
Courtenay Gardens Primary School,88%,Primary,Cranbourne North,Casey (C),Government,771,876,105,
Seabrook Primary School,88%,Primary,Seabrook,Hobsons Bay (C),Government,946,1075,129,
Laurimar Primary School,88%,Primary,Doreen,Whittlesea (C),Government,966,1098,132,
